SUB,NOM,DESCR
1204,SETD TRIAGEM,BARRAMENTO AT
1267,SETD VIGARIO GERAL,BARRAMENTO AT
1312,SETD MERITI,BARRAMENTO AT
10385889,SETD ALDEIA CAMPISTA,BARRAMENTO AT
1213,SETD GOVERNADOR,BARRAMENTO AT
10385943,SETD ALVORADA,BARRAMENTO AT
1276,SETD MATURACA,BARRAMENTO AT
1222,SETD FUNDAO,BARRAMENTO AT
10385907,SETD BARRA,BARRAMENTO AT
10386015,SETD CAMERINO,BARRAMENTO AT
10385934,SETD BOTAFOGO,BARRAMENTO AT
10385961,SETD BAEPENDI,BARRAMENTO AT
10386051,SETD CAMPO MARTE,BARRAMENTO AT
1132,SETD RAMOS,BARRAMENTO AT
1123,SETD TERRA NOVA,BARRAMENTO AT
1141,SETD CACHAMBI,BARRAMENTO AT
1150,SETD GUANABARA,BARRAMENTO AT
1159,SETD BRAS DE PINA,BARRAMENTO AT
1168,SETD DEMOCRATICOS,BARRAMENTO AT
1177,SETD VILA VALQUEIRE,BARRAMENTO AT
10386042,SETD CURICICA,BARRAMENTO AT
10386105,SETD FREI CANECA,BARRAMENTO AT
1186,SETD CASCADURA,BARRAMENTO AT
1231,SETD PIEDADE,BARRAMENTO AT
1285,SETD AGUA GRANDE,BARRAMENTO AT
1294,SETD TURIACU,BARRAMENTO AT
1240,SETD PEDRO ERNESTO,BARRAMENTO AT
1303,SETD PAVUNA,BARRAMENTO AT
1195,SETD BOCA DO MATO,BARRAMENTO AT
1249,SETD COLEGIO,BARRAMENTO AT
1258,SETD GUADALUPE,BARRAMENTO AT
10386096,SETD HUMAITÁ,BARRAMENTO AT
10385988,SETD ITAPEBA,BARRAMENTO AT
10385880,SETD JARDIM BOTANICO,BARRAMENTO AT
10385925,SETD LEME,BARRAMENTO AT
10386033,SETD LEOPOLDO,BARRAMENTO AT
10386114,SETD MACKENZIE,BARRAMENTO AT
10385916,SETD PORTA D'AGUA,BARRAMENTO AT
10386087,SETD POSTO SEIS,BARRAMENTO AT
10386006,SETD RIO COMPRIDO,BARRAMENTO AT
10385970,SETD SANTO ANTONIO,BARRAMENTO AT
10386060,SETD SÃO CONRADO,BARRAMENTO AT
10386069,SETD SANTA LUZIA,BARRAMENTO AT
10385997,SETD SAMARITANO,BARRAMENTO AT
10385871,SETD TAQUARA,BARRAMENTO AT
10385898,SETD TROVAO,BARRAMENTO AT
10385979,SETD URUGUAI,BARRAMENTO AT
18520731,SETD AREIA BRANCA,BARRAMENTO AT
18520461,SETD ARI FRANCO,BARRAMENTO AT
18521208,SETD BRISAMAR,BARRAMENTO AT
18520488,SETD CAMARA,BARRAMENTO AT
18520353,SETD CENTENÁRIO,BARRAMENTO AT
18520758,SETD CACHAMORRA,BARRAMENTO AT
18520839,SETD COSMOS,BARRAMENTO AT
18521055,SETD COELHO DA ROCHA,BARRAMENTO AT
18520821,SETD COMENDADOR SOARES,BARRAMENTO AT
18520785,SETD CAXIAS,BARRAMENTO AT
18519958,SETD ESPERANÇA,BARRAMENTO AT
18521064,SETD FONTINELE,BARRAMENTO AT
18520929,SETD INMETRO,BARRAMENTO AT
18520749,SETD JABOATAO,BARRAMENTO AT
18520902,SETD MENA BARRETO,BARRAMENTO AT
18519976,SETD NOVA IGUACU,BARRAMENTO AT
18520479,SETD PADRE MIGUEL,BARRAMENTO AT
18520893,SETD QUEIMADOS,BARRAMENTO AT
18520767,SETD ROCHA FREIRE,BARRAMENTO AT
18519985,SETD ROSALI,BARRAMENTO AT
18520875,SETD RETIRO,BARRAMENTO AT
18520299,SETD SANTA CECILIA,BARRAMENTO AT
18520398,SETD SAUDADE,BARRAMENTO AT
18520614,SETD SAPUCAIA,BARRAMENTO AT
18521154,SETD SEROPÉDICA,BARRAMENTO AT
18520803,SETD SARAPUI,BARRAMENTO AT
18521136,SETD SANTISSIMO,BARRAMENTO AT
18520326,SETD TRES RIOS,BARRAMENTO AT
18520371,SETD VIGARIO,BARRAMENTO AT
18520470,SETD VOLTA REDONDA,BARRAMENTO AT
18520911,SETD ZONA INDUSTRIAL,BARRAMENTO AT
34192093,SETD SANTA CLARA,BARRAMENTO AT
55813421,SETD LEBLON,BARRAMENTO AT
29148432,SETD MATO ALTO,BARRAMENTO AT
132097219,SETD RECREIO,BARRAMENTO AT
152677490,SETD COPACABANA,BARRAMENTO AT
224567922,SETD MARAPICU,BARRAMENTO AT
18521352,SETD ELDORADO,BARRAMENTO AT
272870827,SEMT PALMARES,BARRAMENTO AT
18520794,SETD VILAR DOS TELES,BARRAMENTO AT
18519994,SETD WASHINGTON LUIS,BARRAMENTO AT
279436352,SETR  BONFIM,BARRAMENTO AT
280389625,SETD CARMARI,BARRAMENTO AT
133869814,SE RESERVA TECNICA,BARRAMENTO RESERVA TECNICA
289308250,SETR CARANDÁ,BARRAMENTO AT
292112253,SEMT CORDOVIL,BARRAMENTO AT
277466374,SEMT MAJOR VAZ,BARRAMENTO AT
295955379,SEMT OLARIA,BARRAMENTO AT
29186320,SEMT TERMINAL SUL,BARRAMENTO AT
310129856,SETD ITAGUAI,BARRAMENTO AT
310718139,SETD SÃO JOÃO,BARRAMENTO AT
289218076,SETR DEL CASTILHO,BARRAMENTO AT
345834478,SETD BARRA 2,BARRAMENTO AT
449886789,SETD INFLUENCIA,BARRAMENTO AT
450101398,SETD PACIENCIA,BARRAMENTO AT
457474244,SETD GARDENIA,BARRAMENTO AT
461733896,SEMT INTEGRAÇÃO,BARRAMENTO AT
535612098,SETD OLIMPICA,BARRAMENTO AT
