ALIMENTADOR,SUB_MAE,SUB_FILHA_ORFA
106491660,29148432,22183116
106491888,29148432,25455230
113096174,29148432,135613108
135610322,18521208,18521181
18769841,18520326,18520362
18769841,18520326,18520003
18769847,18520326,18520605
18769847,18520326,18520596
18769949,18520353,18520524
18769949,18520353,18520677
18769955,18520353,18520443
18769955,18520353,18520533
18769955,18520353,18520506
18770003,18520371,18520290
18770003,18520371,18520668
18770009,18520371,18520650
18770009,18520371,405941887
18770015,18520353,18520452
18770015,18520353,18520416
18770027,18520353,50995643
18770027,18520353,427261589
18770027,18520353,18520389
18770027,18520353,18520335
18770027,18520353,258717802
18770027,18520353,18520884
18770027,18520353,18520425
18770033,18520353,18520560
18770033,18520353,18520632
18770033,18520353,30526190
18770033,18520353,18521127
18770069,18520299,18520542
18770069,18520299,18520515
18770075,18520299,143020517
18770075,18520299,18520236
18770075,18520299,18520272
18770075,18520299,18520308
18770081,18520299,18520641
18770081,18520299,18520920
18770081,18520299,18520938
18770087,18520299,18521217
18770093,18520299,18520317
18770111,18520299,18520659
18770117,18520299,18520254
18770117,18520299,18520686
18770135,18520353,18519967
18770399,18520767,18520227
18770405,18520767,406362690
18770411,18520767,18520812
18770441,18520398,18520569
18770453,18520398,18520983
18770453,18520398,18521271
18770453,18520398,18520866
18770501,18520326,18520587
18770507,18520326,18521046
18770507,18520326,109363914
18770519,18520326,326499107
18770615,18520470,18521226
18770627,18520470,18520380
18770645,18520470,18520992
18770645,18520470,18521253
18770645,18520470,18520281
18770645,18520470,18520434
18770645,18520470,18521199
18770681,18520470,18521118
18770681,18520470,18521073
18770681,18520470,18520344
18770987,18521352,18521190
18770987,18521352,319319016
18771131,18520614,18520974
18771131,18520614,18521019
18771137,18520614,18521307
18771689,18520767,18520245
18771713,18520767,134595522
18771713,18520767,134608399
18772271,18520893,18521109
18772271,18520893,18520021
18772277,18520893,18520956
18772283,18520893,248609788
18772289,18520893,497739010
18772301,18520893,18521100
18772313,18520893,457701774
18772319,18520893,18521298
18772649,18519958,18520704
18772655,18519958,18520740
18772655,18519958,660138488
18772655,18519958,25987899
18772661,18519958,18521172
18772673,18519958,455138316
18773207,18519976,18521082
18773213,18519976,18521163
18795697,18521136,18520713
18795703,18521136,18520695
18795709,18521136,18520623
18795733,18521136,138550225
18795739,18521136,18520497
18795835,18521208,18521280
18795847,18521208,25794114
18795847,18521208,18521325
18795901,18521208,25764042
18796009,18521154,18521145
18796009,18521154,18521244
18796015,18521154,25334769
18796021,18521154,18520021
18796021,18521154,18520012
18796033,18521154,18520578
418312994,18521154,18521010
431187091,449886789,18520848
431187091,449886789,18521262
431187321,449886789,18521334
431187360,449886789,18520551
608752098,29148432,550392038
613087,1150,335893881
